Project ID,Project Name,Cost (₹ crore),Region,Category
P2,Rural Healthcare Clinics,30,Vidarbha,Healthcare
P4,Nagpur-Mumbai Expressway,120,Statewide,Transport
P8,Mumbai Slum Sanitation,50,Mumbai,Sanitation
P10,Nashik Wine Tourism Roads,35,Nashik,Tourism
P11,Amravati Women’s Hostels,18,Amravati,Social Welfare
P12,Thane Flood Prevention,40,Thane,Infrastructure
P16,Smart Classrooms for Rural Schools,22,Vidarbha,Education
P17,Green Belt Development,26,Pune,Environment
P18,Skill Training for Youth,33,Nagpur,Employment
P21,Cultural Center Restoration,19,Nashik,Tourism
